Département;CE;communes;Arrondissements;Inscrits
ZOU;23;ABOMEY;AGBOKPA;4 578
ZOU;23;ABOMEY;DETOHOU;3 422
ZOU;23;ABOMEY;DJEGBE;14 085
ZOU;23;ABOMEY;HOUNLI;13 939
ZOU;23;ABOMEY;SEHOUN;2 693
ZOU;23;ABOMEY;VIDOLE;18 164
ZOU;23;ABOMEY;ZOUNZONME;4 742
ATLANTIQUE;6;ABOMEY-CALAVI;ABOMEY-CALAVI;80 144
ATLANTIQUE;6;ABOMEY-CALAVI;AKASSATO;32 624
ATLANTIQUE;6;ABOMEY-CALAVI;GODOMEY;168 944
ATLANTIQUE;6;ABOMEY-CALAVI;GOLO-DJIGBE;17 303
ATLANTIQUE;6;ABOMEY-CALAVI;HEVIE;34 500
ATLANTIQUE;6;ABOMEY-CALAVI;KPANROUN;6 534
ATLANTIQUE;6;ABOMEY-CALAVI;OUEDO;18 709
ATLANTIQUE;6;ABOMEY-CALAVI;TOGBA;43 442
ATLANTIQUE;6;ABOMEY-CALAVI;ZINVIE;15 611
PLATEAU;21;ADJA-OUERE;ADJA-OUERE;12 909
PLATEAU;21;ADJA-OUERE;IKPINLE;14 425
PLATEAU;21;ADJA-OUERE;KPOULOU;6 417
PLATEAU;21;ADJA-OUERE;MASSE;11 270
PLATEAU;21;ADJA-OUERE;OKO-AKARE;10 082
PLATEAU;21;ADJA-OUERE;TATONNONKON;6 926
OUEME;19;ADJARRA;ADJARRA 1;9 066
OUEME;19;ADJARRA;ADJARRA 2;7 471
OUEME;19;ADJARRA;AGLOGBE;7 530
OUEME;19;ADJARRA;HONVIE;11 728
OUEME;19;ADJARRA;MALANHOUI;15 286
OUEME;19;ADJARRA;MEDEDJONOU;12 756
OUEME;20;ADJOHOUN;ADJOHOUN;6 555
OUEME;20;ADJOHOUN;AKPADANOU;5 151
OUEME;20;ADJOHOUN;AWONOU;3 260
OUEME;20;ADJOHOUN;AZOWLISSE;12 520
